lon,lat,source,country,year,wealthpooled,wealthpooled5country,households,urban_rural
90.721422,23.705191,BDHR41DT.ZIP,Bangladesh,2000,0.7490588660943736,-0.7476740560967167,29,0
90.72301,23.951621,BDHR41DT.ZIP,Bangladesh,2000,0.054632882331212565,0.281350039873393,27,1
90.730961,23.024249,BDHR41DT.ZIP,Bangladesh,2000,0.9634545034308458,-0.7536785300202025,28,0
90.737138,24.887166,BDHR41DT.ZIP,Bangladesh,2000,-0.030607751010411924,0.42126942339275253,30,1
90.743583,24.344822,BDHR41DT.ZIP,Bangladesh,2000,0.9421114155523488,-0.8866479822106744,30,0
90.773942,23.084037,BDHR41DT.ZIP,Bangladesh,2000,0.8763047509422299,-0.6218651576082621,30,0
90.783464,23.480928,BDHR41DT.ZIP,Bangladesh,2000,0.7797832277674392,-0.5832254690179464,26,0
90.787644,24.955308,BDHR41DT.ZIP,Bangladesh,2000,0.7966530684771236,-0.8150551503921787,24,0
90.790852,24.191126,BDHR41DT.ZIP,Bangladesh,2000,0.661771941208419,-0.6933433553496867,34,0
90.792286,23.257276,BDHR41DT.ZIP,Bangladesh,2000,0.8518494426498866,-0.5547355088818036,27,0
90.797963,24.556408,BDHR41DT.ZIP,Bangladesh,2000,0.7979634689692224,-0.855409819019467,40,0
90.83713,24.112323,BDHR41DT.ZIP,Bangladesh,2000,0.5874529549142595,-0.5798972353527925,38,0
90.851408,24.507195,BDHR41DT.ZIP,Bangladesh,2000,0.8610183476430439,-0.8334781347641274,27,0
90.869912,23.822275,BDHR41DT.ZIP,Bangladesh,2000,0.7113359796534908,-0.5350921726837276,24,0
90.874785,24.043397,BDHR41DT.ZIP,Bangladesh,2000,0.5858781533039648,-0.596080328161308,34,0
90.874982,23.092898,BDHR41DT.ZIP,Bangladesh,2000,0.7051619442567096,-0.44762707086969283,28,1
90.879097,24.9592,BDHR41DT.ZIP,Bangladesh,2000,0.7549754923528202,-0.8124676776418858,34,0
90.886854,23.505342,BDHR41DT.ZIP,Bangladesh,2000,0.8031140440292052,-0.6641934905994565,31,0
90.904612,23.714419,BDHR41DT.ZIP,Bangladesh,2000,0.9112131596016688,-0.7624421129975938,26,0
90.912769,22.932227,BDHR41DT.ZIP,Bangladesh,2000,0.9840979135890557,-0.7981722533986597,26,0
90.928164,22.961448,BDHR41DT.ZIP,Bangladesh,2000,0.9529715100719093,-0.7594693041183668,27,0
90.938974,24.211481,BDHR41DT.ZIP,Bangladesh,2000,0.6726972085914079,-0.603260132517691,30,1
90.940604,24.484967,BDHR41DT.ZIP,Bangladesh,2000,0.8138700940000001,-0.8028960507023537,35,0
90.944226,24.232086,BDHR41DT.ZIP,Bangladesh,2000,0.6737517958262643,-0.6352969174651204,20,0
90.96038,23.621827,BDHR41DT.ZIP,Bangladesh,2000,0.8739322735530333,-0.8048180026378853,28,0
90.971566,22.995933,BDHR41DT.ZIP,Bangladesh,2000,0.7579626312681141,-0.5178729914816694,26,0
90.992672,23.279583,BDHR41DT.ZIP,Bangladesh,2000,0.9484972447433458,-0.7656867238550904,26,0
90.997915,23.056113,BDHR41DT.ZIP,Bangladesh,2000,0.9110519446281451,-0.7126727085511403,29,0
91.017114,22.889406,BDHR41DT.ZIP,Bangladesh,2000,0.9829377203745971,-0.8328041965091785,23,0
91.079235,22.810793,BDHR41DT.ZIP,Bangladesh,2000,0.6228600971282999,-0.4106499883029253,27,1
91.079839,23.024242,BDHR41DT.ZIP,Bangladesh,2000,0.7608458630251917,-0.5516005765530395,28,0
91.081647,24.009624,BDHR41DT.ZIP,Bangladesh,2000,0.6842140378191716,-0.449654573687713,36,0
